date,Petrol,Diesel
1/1/2018,190.9,213.82
2/1/2018,172.5,209.89
3/1/2018,163.4,206.41
4/1/2018,151.4,204.35
5/1/2018,150.2,205.67
6/1/2018,148.1,204.97
7/1/2018,146.8,204.32
8/1/2018,146.9,207.99
9/1/2018,147.3,211.64
10/1/2018,147.2,219.33
11/1/2018,147.5,219.54
12/1/2018,145.8,221.56
1/1/2019,145.7,225.09
2/1/2019,145.29,225.61
3/1/2019,145.32,229.16
4/1/2019,145.92,230.67
5/1/2019,145.03,228.02
6/1/2019,145.36,224.69
7/1/2019,145.03,224.96
8/1/2019,145.48,229.08
9/1/2019,145.53,227.92
10/1/2019,145.48,226.19
11/1/2019,145.94,225.08
12/1/2019,145.35,221.81
1/1/2020,145.37,229.78
2/1/2020,145.41,226.25
3/1/2020,145.4,226.78
4/1/2020,130.84,224.11
5/1/2020,129.67,219.13
6/1/2020,128.88,224.37
7/1/2020,143.63,224.43
8/1/2020,148.78,221.88
9/1/2020,161.06,219.68
10/1/2020,161.17,219.8
11/1/2020,167.27,223.74
12/1/2020,165.7,224.37
1/1/2021,164.09,224.86
2/1/2021,166.24,227.76
3/1/2021,172.68,235.41
4/1/2021,166.38,237.19
5/1/2021,168.06,238.82
6/1/2021,165.61,242.43
7/1/2021,165.91,250.82
8/1/2021,164.91,254.21
9/1/2021,164.85,254.64
10/1/2021,165.6,254.07
11/1/2021,167.6,277.83
12/1/2021,165.77,289.37
1/1/2022,166.4,288.09
2/1/2022,170.42,311.98
3/1/2022,185.3,539.32
4/1/2022,172.61,654.46
5/1/2022,173.08,671.08
6/1/2022,175.89,733.78
7/1/2022,190.01,774.38
8/1/2022,189.46,786.88
9/1/2022,191.65,789.9
10/1/2022,195.29,801.09
11/1/2022,202.48,808.87
12/1/2022,206.19,817.86
1/1/2023,257.12,828.82
2/1/2023,263.76,836.91
3/1/2023,264.29,840.81
4/1/2023,254.06,842.25
5/1/2023,238.11,844.28
6/1/2023,545.83,815.83
7/1/2023,600.35,794.48
8/1/2023,626.7,854.32
9/1/2023,626.21,890.8
10/1/2023,630.63,1004.98
11/1/2023,648.93,1055.57
12/1/2023,671.86,1126.69
1/1/2024,668.3,1153.01
2/1/2024,679.36,1257.06
3/1/2024,696.79,1341.16
4/1/2024,701.24,1415.06
5/1/2024,769.62,1403.96
6/1/2024,750.17,1462.98
7/1/2024,770.54,1379.48
8/1/2024,830.46,1406.05
9/1/2024,1030.46,1418.83
10/1/2024,1184.83,1441.28
11/1/2024,1184.83,1462.98
